,date,imdbid,title,year,visible,dubious,rating,id,submitterid
1,2009-06-13 14:43:18,0111161,"Shawshank Redemption, The",1994,1,,0,339,1
2,2011-04-23 18:52:32,0068646,"Godfather, The",1972,1,0,2,2224,3113
3,2008-07-23 00:00:00,0468569,"Dark Knight, The",2008,1,1,3,66,1
4,2013-02-14 11:01:57,0071562,"Godfather: Part II, The",1974,1,0,2,3896,6585
5,2009-03-24 15:18:12,0050083,12 Angry Men,1957,1,,0,302,17
6,2010-08-23 23:37:44,0108052,Schindler&#39;s List,1993,1,0,3,1497,1761
7,2009-01-02 22:13:37,0167260,"Lord of the Rings: The Return of the King, The",2003,1,,1,248,6
8,2008-07-29 17:23:28,0110912,Pulp Fiction,1994,1,,3,91,1
9,2009-01-02 22:03:45,0120737,"Lord of the Rings: The Fellowship of the Ring, The",2001,1,,1,246,6
10,2010-11-02 05:35:40,0060196,"Good, the Bad and the Ugly, The",1966,1,0,1,1725,2171
11,2010-05-03 14:20:32,0109830,Forrest Gump,1994,1,0,1,776,577
12,2008-10-25 14:19:28,0137523,Fight Club,1999,1,,1,210,17
13,2010-07-13 15:21:23,1375666,Inception,2010,1,1,3,1169,1228
14,2009-01-02 22:10:41,0167261,"Lord of the Rings: The Two Towers, The",2002,1,,3,247,6
15,2010-01-26 22:29:43,0080684,Star Wars: Episode V - The Empire Strikes Back,1980,1,0,0,670,421
16,2008-07-20 00:00:00,0133093,"Matrix, The",1999,1,0,3,36,1
17,2011-04-23 18:22:33,0099685,Goodfellas,1990,1,1,3,2211,3100
18,2010-07-25 18:55:11,0073486,One Flew Over the Cuckoo&#39;s Nest,1975,1,1,2,1321,1437
19,2008-07-24 00:00:00,0114369,Se7en,1995,1,0,1,69,1
20,2012-10-16 02:18:09,0047478,Shichinin no samurai,1954,1,0,0,3600,5912
21,2011-04-23 20:14:50,0038650,It&#39;s a Wonderful Life,1946,1,1,3,2235,3124
22,2008-07-19 00:00:00,0102926,"Silence of the Lambs, The",1991,1,0,3,32,1
23,2011-02-15 12:38:33,0317248,City of God,2002,1,0,1,2038,2724
24,2010-07-04 22:58:24,0120815,Saving Private Ryan,1998,1,0,0,1090,1136
25,2009-12-28 04:16:39,0118799,La vita &egrave; bella,1997,1,0,0,614,344
26,2014-11-05 08:20:49,0816692,Interstellar,2014,1,0,3,5902,11170
27,2012-12-06 01:38:27,0120689,"Green Mile, The",1999,1,0,1,3714,6166
28,2010-01-26 22:26:54,0076759,Star Wars,1977,1,0,1,669,420
29,2010-05-27 20:28:27,0103064,Terminator 2: Judgement Day,1991,1,1,3,847,715
30,2008-08-09 10:58:44,0088763,Back to the Future,1985,1,,2,149,1
31,2010-05-28 06:02:51,0245429,Spirited Away,2001,1,0,3,864,743
32,2011-02-15 12:53:30,0054215,Psycho,1960,1,0,3,2039,2725
33,2014-06-06 03:27:28,0253474,"Pianist, The",2002,1,0,1,5539,10307
34,2019-06-21 10:33:22,6751668,Gisaengchung,2019,1,1,3,8768,17199
35,2010-11-14 23:23:19,0110413,"Professional, The",1994,1,0,3,1755,2226
36,2008-07-30 01:03:58,0110357,"Lion King, The",1994,1,,1,100,1
37,2010-07-11 07:33:45,0172495,Gladiator,2000,1,0,0,1163,1221
38,2011-07-18 07:16:21,0120586,American History X,1998,1,0,2,2548,3792
39,2010-08-01 13:05:11,0407887,"Departed, The",2006,1,0,1,1415,1584
40,2008-07-20 00:00:00,0114814,"Usual Suspects, The",1995,1,0,1,54,1
41,2011-02-15 12:14:40,0482571,"Prestige, The",2006,1,0,1,2036,2722
42,2010-07-04 14:24:27,0034583,Casablanca,1942,1,0,1,1076,1121
43,2014-10-08 16:30:06,2582802,Whiplash,2014,1,0,1,5818,11003
44,2011-12-10 23:24:52,1675434,Untouchable,2011,1,0,1,2919,4471
45,2021-05-13 20:55:28,0056058,Hara-Kiri,1962,1,0,0,9818,19164
46,2014-10-23 17:59:51,0095327,Grave of the Fireflies,1988,1,0,0,5867,11101
47,2010-07-26 02:04:38,0027977,Modern Times,1936,1,0,0,1323,1440
48,2011-04-23 19:00:58,0064116,Once Upon a Time in the West,1968,1,0,1,2226,3115
49,2011-03-21 09:57:12,0047396,Rear Window,1954,1,1,3,2132,2908
50,2011-09-23 17:50:12,0021749,City Lights,1931,1,0,3,2705,4074
51,2008-07-19 00:00:00,0078748,Alien,1979,1,0,3,13,1
52,2013-12-28 02:23:34,0095765,Cinema Paradiso,1988,1,0,1,4998,9048
53,2011-04-23 19:05:44,0078788,Apocalypse Now,1979,1,0,0,2227,3116
54,2008-07-20 00:00:00,0209144,Memento,2000,1,0,1,52,1
55,2009-06-14 10:28:13,0082971,Raiders of the Lost Ark,1981,1,,3,340,1
56,2012-12-31 15:46:31,1853728,Django Unchained,2012,1,0,1,3792,6307
57,2008-07-19 00:00:00,0910970,WALL-E,2008,1,0,1,3,1
58,2010-05-12 00:05:38,0405094,Das Leben Der Anderen,2006,1,0,0,791,597
59,2009-12-28 04:08:44,0043014,Sunset Blvd.,1950,1,0,3,608,338
60,2010-07-23 01:06:37,0050825,Paths of Glory,1957,1,0,0,1274,1376
61,2010-06-10 19:30:23,0081505,"Shining, The",1980,1,0,2,930,862
62,2012-08-13 07:55:07,0032553,"Great Dictator, The",1940,1,0,3,3470,5653
63,2013-12-10 00:56:28,0051201,Witness for the Prosecution,1957,1,0,1,4933,8951
64,2018-04-28 14:05:24,4154756,Avengers: Infinity War,2018,1,0,3,8178,16012
65,2009-02-17 08:15:07,0090605,Aliens,1986,1,,3,283,26
66,2008-07-25 16:32:50,0169547,American Beauty,1999,1,,3,71,1
67,2018-12-14 21:07:25,4633694,Spider-Man : Into the Spider-Verse,2018,1,0,1,8523,16682
68,2009-06-14 15:44:02,0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1,,0,341,1
69,2012-07-19 12:04:40,1345836,"Dark Knight Rises, The",2012,1,0,1,3437,5547
70,2013-05-30 17:29:52,0364569,Oldboy,2003,1,0,1,4183,7286
71,2019-10-08 00:22:08,7286456,Joker,2019,1,1,3,8863,17373
72,2010-01-21 21:12:06,0086879,Amadeus,1984,1,0,3,613,401
73,2008-07-28 15:55:31,0114709,Toy Story,1995,1,,1,87,1
74,2008-10-23 16:19:58,0112573,Braveheart,1995,1,,2,205,17
75,2009-12-07 23:20:07,0361748,Inglourious Basterds,2009,1,1,3,557,277
